Compound Name,Mechanism of Action
capecitabine,"Capecitabine is metabolized to 5-fluorouracil in vivo by carboxylesterases, cytidine deaminase, and thymidine phosphorylase/uridine phosphorylase sequentially. 5-fluorouracil is further metabolized through a series of enzymatic reactions into 3 main active metabolites: 5-fluorouridine triphosphate (5-FUTP), 5-fluoro-2’-deoxyuridine monophosphate (5-FdUMP), and 5-fluorodeoxyuridine triphosphate (5-FdUTP).. These metabolites cause cell injury by two different mechanisms. First, FdUMP and the folate cofactor, N5-10-methylenetetrahydrofolate (CH<sub>2</sub>THF), bind to thymidylate synthase (TS) to form a covalently bound ternary complex. TS is an enzyme that catalyzes the methylation of deoxyuridine monophosphate (dUMP) to deoxythymidine monophosphate (dTMP). Under normal physiological conditions, dUMP binds to TS first before CH<sub>2</sub>THF, followed by a 1,4 or Michael addition from the pyrimidine C (6)atom to the Cys146 nucleophile. If correctly positioned, dUMP, CH<sub>2</sub>THF, and TS would form a ternary complex to facilitate the donation of the methyl group from CH<sub>2</sub>THF to dUMP. However, the substitution of dUMP with FdUMP results in a new time-dependent TS–FdUMP–CH2THF complex. Since the fluorine group prevents dissociation of FdUMP from the pyrimidine ring, the whole complex is rendered irreversibly deactivated, terming this reaction ""suicide inhibition"". TS inhibition prevents the conversion of dUMP to dTMP, depleting the pool of dTMP that could be phosphorylated into dTTP to be incorporated as DNA nucleotides. This disrupts the nucleotides balance, particularly the the ATP/dTTP ratio, thus impairing DNA synthesis and repair and causing apoptosis.   5-FdUMP can also be phosphorylated into 5-FdUTP, further increasing the pool of dUTP base to potentially overwhelm the activity of dUTPase. Coupled with the decrease in dTTP, 5-FdUMP, and 5-FdUTP increase the probability of mistakenly incorporating a uracil base into DNA strands in place of thymine. Although this mistake can often be resolved by the nucleotide excision repair enzyme uracil-DNA-glycosylase (UDG), the high (F)dUTP/dTTP ratio would result in re-incorporation of uracil into DNA, leading to a futile cycle of misincorporation, excision, and repair. Repeated base excision repair can result in abasic sites, which can lead to DNA mutagenesis and thus protein miscoding, replication forks collapse, and DNA fragmentation through single or double strand breaks   However, several reports have found that the incorporation of uracil in genomic DNA does not significantly affect the cytotoxicity of 5-FU, suggesting that the cytotoxic effect of 5-FU is dominated by the perturbation of RNA through 5-FUTP. Similar to 5-dFUTP, 5-FUTP can be mistakenly incorporated into RNA in place of regular UTP and disrupt regular RNA biology through various mechanisms. 5-FUTP can be incorporated into the spliceosomal U2 snRNA at pseudouridylated sites to prevent further pseudouridylation and thus pre-mrNA splicing. 5-FUTP can also change the structure of U4 and U6 snRNA and reduce the turnover rate of U1 snrNA once incorporated. For tRNA, 5-FUTP can affect tRNA's post-transcriptional RNA modifications activity, particularly by inhbiting pseudouridine synthase through formation of covalent complex. Recently, the effect of 5-FUTP on miRNAs and lncRNA was also observed through profound changes in expression, although the precise mechanism is still unknown.  Although the main mechanism of 5-FU cytotoxicity was thought to be attributed to DNA damages, recent reports have shown that the majority of 5-FU pharmacological action is mediated through RNA, since 5-FU is accumulated ~3000- to 15 000-fold more in RNA compared to that of DNA.

Capecitabine is a prodrug and has little pharmacologic activity until it is converted to fluorouracil, an antimetabolite. Because capecitabine is converted to fluorouracil by enzymes that are expressed at higher concentrations in many tumors than in adjacent normal tissues or plasma, it is thought that high tumor concentrations of the active drug may be achieved with less systemic toxicity. Fluorouracil is metabolized in both normal and tumor cells to 5-fluoro-2'-deoxyuridine 5'-monophosphate (FdUMP) and 5-fluorouridine triphosphate (FUTP). Although the precise mechanisms of action of fluorouracil have not been fully elucidated, the main mechanism is thought to be the binding of the deoxyribonucleotide of the drug (FdUMP) and the folate cofactor (N5-10-methylenetetrahydrofolate) to thymidylate synthase (TS) to form a covalently bound ternary complex, which inhibits the formation of thymidylate from 2'-deoxyuridylate, thereby interfering with DNA synthesis. In addition, FUTP can be incorporated into RNA in place of uridine triphosphate (UTP), producing a fraudulent RNA and interfering with RNA processing and protein synthesis. Capecitabine has been shown to be active in xenograft tumors that are resistant to fluorouracil indicating incomplete cross-resistance between the drugs.

In this report, /the authors/ investigated whether apoptosis induced by capecitabine was mediated by the Fas/FasL system. To achieve this goal, a specific in vitro coculture model mixing hepatoma and human colorectal cell line was used. A bystander effect was observed between HepG2 and LS174T cells treated with capecitabine. Besides this, Xeloda showed a 7-fold higher cytotoxicity and markedly stronger apoptotic potential in thymidine phosphorylase (TP)-transfected LS174T-c2 cells. The striking enhancement of thymidylate synthase inhibition that we observed in cells with high TP activity was most probably at the origin of the potentiation of capecitabine antiproliferative efficacy. In addition, this increase of sensitivity was accompanied by a strong overexpression of the CD95-Fas receptor on the cell surface. Both Fas and FasL mRNA expression were triggered after exposing TP+ cells to the drug. This implication of Fas in Xeloda-induced apoptosis was next confirmed by using antagonistic anti-Fas and anti-FasL antibodies that proved to reverse capecitabine antiproliferative activity, thus highlighting the key role that Fas could play in the optimization of an antitumor response to fluoropyrimidine drugs. /The/ data, therefore, show that TP plays a key role in the capecitabine activity and that the Fas/FasL system could be considered as a new determinant for Xeloda efficacy."
carboplatin,"Carboplatin predominantly acts by attaching alkyl groups to the nucleotides, leading to the formation of monoadducts, and DNA fragmenting when repair enzymes attempt to correct the error. 2% of carboplatin's activity comes from DNA cross-linking from a base on one strand to a base on another, preventing DNA strands from separating for synthesis or transcription. Finally, carboplatin can induce a number of different mutations."
carboplatin and etoposide,Drug not found in PubChem
carboplatin or cisplatin,Drug not found in PubChem
carboplatin plus paclitaxel,Drug not found in PubChem
carboplatin/cisplatin,CID not found
cemiplimab,Drug not found in PubChem
cemiplimab plus fianlimab,Drug not found in PubChem
cemiplimab + REGN7075,Drug not found in PubChem
cemiplimab+fianlimab,Drug not found in PubChem
cetuximab,Drug not found in PubChem
cetuximab β combined with FOLFIRI,Drug not found in PubChem
chemoimmunothrapy,Drug not found in PubChem
chemotherapy combined with Aparolitolovureli immunotherapy,Drug not found in PubChem
chemotherapy treatment called GPOH,Drug not found in PubChem
chemotherapy treatment called rapid COJEC,Drug not found in PubChem
chidamide+Camrelizumab+Apatinib,Drug not found in PubChem
chimeric antigen receptor gene modified T cells,Drug not found in PubChem
circFAM53B mRNA vaccine,Drug not found in PubChem
cilastatine,"Cilastatin is a renal dehydropeptidase-I inhibitor. Since the antibiotic, imipenem, is hydrolyzed by dehydropeptidase-I, which resides in the brush border of the renal tubule, cilastatin is administered with imipenem to block the metabolism of imipenem."
cis-platinum,"Alkylating agents work by three different mechanisms: 1) attachment of alkyl groups to DNA bases, resulting in the DNA being fragmented by repair enzymes in their attempts to replace the alkylated bases, preventing DNA synthesis and RNA transcription from the affected DNA, 2) DNA damage via the formation of cross-links (bonds between atoms in the DNA) which prevents DNA from being separated for synthesis or transcription, and 3) the induction of mispairing of the nucleotides leading to mutations."
cisplatin + docetaxel for concurrent chemotherapy,Drug not found in PubChem
cisplatin or carboplatin,Drug not found in PubChem
cisplatin,"Alkylating agents work by three different mechanisms: 1) attachment of alkyl groups to DNA bases, resulting in the DNA being fragmented by repair enzymes in their attempts to replace the alkylated bases, preventing DNA synthesis and RNA transcription from the affected DNA, 2) DNA damage via the formation of cross-links (bonds between atoms in the DNA) which prevents DNA from being separated for synthesis or transcription, and 3) the induction of mispairing of the nucleotides leading to mutations."
cisplatin or carboplatin + pemetrexed,Drug not found in PubChem
claudin18.2 CAR-T,Drug not found in PubChem
cmFOLFOXIRI plus PD-1 inhibitor,Drug not found in PubChem
combination,Drug not found in PubChem
combined with CVP,Drug not found in PubChem
concurrent chemotherapy,Drug not found in PubChem
conditioning for ALLO Transplant,Drug not found in PubChem
conservative treatment,Drug not found in PubChem
contrast agent perflutren lipid,Drug not found in PubChem
control group,Drug not found in PubChem
cordycepin tablet,Drug not found in PubChem
ctDNA-MRD-guided adjuvant therapy,Drug not found in PubChem
copanlisib,Mechanism of Action section not found
cyclophosphamide plus paclitaxel,Drug not found in PubChem
cytarabine liposomes,Drug not found in PubChem
dacarbazine or temozolomide,Drug not found in PubChem
cyclophosphamide,"Alkylating agents work by three different mechanisms: 1) attachment of alkyl groups to DNA bases, resulting in the DNA being fragmented by repair enzymes in their attempts to replace the alkylated bases, preventing DNA synthesis and RNA transcription from the affected DNA, 2) DNA damage via the formation of cross-links (bonds between atoms in the DNA) which prevents DNA from being separated for synthesis or transcription, and 3) the induction of mispairing of the nucleotides leading to mutations.

The chemotherapeutic alkylating agents have in common the property of becoming strong electrophiles through the formation of carbonium ion intermediates or of transition complexes with the target molecules. These reactions result in the formation of covalent linkages by alkylation of various nucleophilic moieties such as phosphate, amino, sulfhydryl, hydroxyl, carboxyl, & imidazole groups. The chemotherapeutic & cytotoxic effects are directly related to the alkylation of DNA. The 7 nitrogen atom of guanine is particularly susceptible to the formation of a covalent bond with bifunctional alkylating agents & may well represent the key target that determines their biological effects. It must be appreciated, however, that other atoms in the purine & pyrimidine bases of DNA- particularly, the 1 & 3 nitrogens of adenine, the 3 nitrogen of cytosine, & the 6 oxygen of guanine- also may be alkylated, as will be the phosphate atoms of the DNA chains & amino & sulfhydryl groups of proteins. /Alkylating agents/

Cyclophosphamide can be used to cause immunologically mediated regression of the immunogenic, cyclophosphamide-resistant L5178Y lymphoma in syngeneic and semisyngeneic mice (B6D2F1 (C57BL/6 x DBA/2) females). In order to cause tumor regression it was necessary to give cyclophosphamide (125-200 mg/kg of body wt, iv shortly before or shortly after tumor implantation. Regardless of whether cyclophosphamide was given before or after tumor implantation, tumor regression was associated with the presence in the spleen of an incr number of Lyt-2+ T-cells capable of passively transferring immunity to tumor bearing recipients. This augmented level of immunity was sustained throughout the period of tumor regression. In contrast, a lower level of concomitant immunity generated by control tumor bearers decayed after day 12 of tumor growth. Because the therapeutic effect of cyclophosphamide could be inhibited by passive transfer of L3T4+ T-cells from normal donor mice it is apparent that the therapeutic effect of cyclophosphamide is based on its ability to preferentially destroy L3T4+ suppressor T-cells. These putative precursor suppressor T-cells were regenerated 4 days after being destroyed by cyclophosphamide.

These studies enable the pattern of emesis and nausea for 3 days following high-dose cyclophosphamide to be described and give some insight into the mechanisms of emesis which may be operating. Nausea and vomiting induced by cyclophosphamide-based chemotherapy has long latency of onset (8-13 hr) and continues for at least 3 days. These findings are of particular importance as many of these patients receive chemotherapy as outpatients and emphasize the need for appropriate anti-emetic prophylaxis for patients at home. Ondansetron was extremely effective over this time in the control of emesis and nausea. These results suggest that high-dose cyclophosphamide-induced emesis over days 1-3 is largely mediated via 5-hydroxytryptamine (5-HT) and 5-HT3 receptors.

The most likely mechanism by which cyclophosphamide augments immune responses relates to preferential elimination of suppressor and relative sparing of effector and helper cells. Thus, precursors and mature murine suppressor cells are very sensitive to cyclophosphamide whereas the mature effector cells are relatively insensitive ... . Cyclophosphamide induced immunological regression of murine leukemia is reversed by the infusion of normal spleen cells as a source of precursors of suppressor cells ... . Memory and helper T cells are relatively resistant to the cytotoxic effect of cyclophosphamide ... . NK activity against YAC lymphoma targets by non T and non B cells is depressed by cyclophosphamide ... ."
decitabine plus venetoclax,Drug not found in PubChem
daraxonrasib,Mechanism of Action section not found
denosumab combined anti-PD-1 inhibitor with chemotherapy,Drug not found in PubChem
dexamethasone or equivalent,Drug not found in PubChem
dexamethasone,"The short term effects of corticosteroids are decreased vasodilation and permeability of capillaries, as well as decreased leukocyte migration to sites of inflammation. Corticosteroids binding to the glucocorticoid receptor mediates changes in gene expression that lead to multiple downstream effects over hours to days.  Glucocorticoids inhibit neutrophil apoptosis and demargination; they inhibit phospholipase A2, which decreases the formation of arachidonic acid derivatives; they inhibit NF-Kappa B and other inflammatory transcription factors; they promote anti-inflammatory genes like interleukin-10.  Lower doses of corticosteroids provide an anti-inflammatory effect, while higher doses are immunosuppressive. High doses of glucocorticoids for an extended period bind to the mineralocorticoid receptor, raising sodium levels and decreasing potassium levels.

Corticosteroids diffuse across cell membranes and complex with specific cytoplasmic receptors. These complexes then enter the cell nucleus, bind to DNA, and stimulate transcription of mRNA and subsequent protein synthesis of enzymes ultimately responsible for anti-inflammatory effects of topical application of corticosteroids to the eye. In high concentrations which may be achieved after topical application, corticosteroids may exert direct membrane effects. Corticosteroids decrease cellular and fibrinous exudation and tissue infiltration, inhibit fibroblastic and collagen-forming activity, retard epithelial regeneration, diminish postinflammatory neovascularization and reduce toward normal levels the excessive permeability of inflamed capillaries. /Corticosteroids (Otic)/

Glucocorticoids are capable of suppressing the inflammatory process through numerous pathways. They interact with specific intracellular receptor proteins in target tissues to alter the expression of corticosteroid-responsive genes. Glucocorticoid-specific receptors in the cell cytoplasm bind with steroid ligands to form hormone-receptor complexes that eventually translocate to the cell nucleus. There these complexes bind to specific DNA sequences and alter their expression. The complexes may induce the transcription of mRNA leading to synthesis of new proteins. Such proteins include lipocortin, a protein known to inhibit PLA2a and thereby block the synthesis of prostaglandins, leukotrienes, and PAF. Glucocorticoids also inhibit the production of other mediators including AA metabolites such as COX, cytokines, the interleukins, adhesion molecules, and enzymes such as collagenase. /Glucocorticoids/

Corticosteroids diffuse across cell membranes and complex with specific cytoplasmic receptors. These complexes then enter the cell nucleus, bind to DNA (chromatin), and stimulate transcription of messenger RNA (mRNA) and subsequent protein synthesis of various inhibitory enzymes responsible for the anti-inflammatory effects of topical corticosteroids. These anti-inflammatory effects include inhibition of early processes such as edema, fibrin deposition, capillary dilatation, movement of phagocttes into the area, and phagocytic activities. Later processes, such as capillary production, collagen deposition, and keloid formation also are inhibited by corticosteroids. The overall actions of topical corticosteroids are catabolic. /Corticosteroids (topical)/"
dornase alfa i.v. and cisplatin,Drug not found in PubChem
docetaxel,"Docetaxel interferes with the normal function of microtubule growth. Whereas drugs like [colchicine] cause the depolymerization of microtubules in vivo, docetaxel arrests their function by having the opposite effect; it hyper-stabilizes their structure. This destroys the cell's ability to use its cytoskeleton in a flexible manner. Specifically, docetaxel binds to the &beta;-subunit of tubulin. Tubulin is the ""building block"" of microtubules, and the binding of docetaxel locks these building blocks in place. The resulting microtubule/docetaxel complex does not have the ability to disassemble. This adversely affects cell function because the shortening and lengthening of microtubules (termed dynamic instability) is necessary for their function as a transportation highway for the cell. Chromosomes, for example, rely upon this property of microtubules during mitosis. Further research has indicated that docetaxel induces programmed cell death (apoptosis) in cancer cells by binding to an apoptosis-stopping protein called Bcl-2 (B-cell leukemia 2), thus arresting its function.

Docetaxel is an antineoplastic agent that acts by disrupting the microtubular network in cells that is essential for mitotic and interphase cellular functions. Docetaxel binds to free tubulin and promotes the assembly of tubulin into stable microtubules while simultaneously inhibiting their disassembly. This leads to the production of microtubule bundles without normal function and to the stabilization of microtubules, which results in the inhibition of mitosis in cells. Docetaxel's binding to microtubules does not alter the number of protofilaments in the bound microtubules, a feature which differs from most spindle poisons currently in clinical use.

Docetaxel, a semisynthetic taxane, has exhibited significant single-agent activity against prostatic tumors. In phase I/II studies, single-agent docetaxel and the combination of docetaxel plus estramustine were effective in inducing prostate-specific antigen reductions of > or = 50% in men with androgen-independent prostate cancer (AIPC). The underlying reason for docetaxel's clinical activity against prostate cancer has been a focus of ongoing research. Docetaxel is believed to have a twofold mechanism of antineoplastic activity: (1) inhibition of microtubular depolymerization, and (2) attenuation of the effects of bcl-2 and bcl-xL gene expression. Taxane-induced microtubule stabilization arrests cells in the G(2)M phase of the cell cycle and induces bcl-2 phosphorylation, thereby promoting a cascade of events that ultimately leads to apoptotic cell death. In preclinical studies, docetaxel had a higher affinity for tubulin and was shown to be a more potent inducer of bcl-2 phosphorylation than paclitaxel. Laboratory evidence also supports the clinical evaluation of docetaxel-based combinations that include agents such as trastuzumab and/or estramustine. The pathways for docetaxel-induced apoptosis appear to differ in androgen-dependent and androgen-independent prostate cancer cells. Further elucidation of these differences will be instrumental in designing targeted regimens for the treatment of localized and advanced prostate cancer."
dose 1,Drug not found in PubChem
dose 2,Drug not found in PubChem
dose expansion of SIM0609 in CRC,Drug not found in PubChem
dose expansion of SIM0609 in GC/GEJC cohort,Drug not found in PubChem
dose expansion of SIM0609 in PDAC cohort,Drug not found in PubChem
dose expansion of SIM0609 in positive other solid tumors,Drug not found in PubChem
doxorubicin and ifosfamide,Drug not found in PubChem
drug,Drug not found in PubChem
drug conservative therapeutic,Drug not found in PubChem
drinking water,Mechanism of Action section not found
dual-drug group,Drug not found in PubChem
durvalumab,Drug not found in PubChem
durvalumab + tremelimumab,Drug not found in PubChem
either ciprofloxacin or levofloxacin at the discretion of the treating clinician,Drug not found in PubChem
embro,Drug not found in PubChem
enfortumab vedotin,Drug not found in PubChem
enpulimab+ Oxaliplatin+Capecitabine,Drug not found in PubChem
entinostat,Mechanism of Action section not found
enzalutamide,"Enzalutamide is a competitive androgen receptor (AR) inhibitor that has a threefold inhibition on the androgen signaling pathway without significant AR agonist activity. It inhibits androgen binding to its receptor, androgen receptor nuclear translocation, and subsequent interaction with chromosomal DNA to upregulate oncogenes. Enzalutamide binds to the AR with 5 to 8-fold greater affinity than first-generation antiandrogens such as bicalutamide and only 2-3 fold reduced affinity than the natural ligand dihydrotestosterone. Molecular docking showed that enzalutamide binds to the ligand binding domain of the AR distinctive from that of bicalutamide."
epcoritamab,Drug not found in PubChem
estazolam 1,Drug not found in PubChem
etoposide and carboplatin,Drug not found in PubChem
etoposide combined with adebrelimab and carboplatin,Drug not found in PubChem
evaluated by MDT and assigned to treatment strategies based on eligibility and patient preference,Drug not found in PubChem
etoposide phosphate,Mechanism of Action section not found
filgrastim,Drug not found in PubChem
fixed-dose combination of pertuzumab and trastuzumab as subcutaneousformulation q3w and nab-paclitaxel in 3-week cycle for total 6 cycles with inavolisib (6 cycles) or without inavolisib,Drug not found in PubChem
fludarabine and cyclophosphamide,Drug not found in PubChem
fludarabine,"Fludarabine phosphate is rapidly dephosphorylated to 2-fluoro-ara-A and then phosphorylated intracellularly by deoxycytidine kinase to the active triphosphate, 2-fluoro-ara-ATP. This metabolite appears to act by inhibiting DNA polymerase alpha, ribonucleotide reductase and DNA primase, thus inhibiting DNA synthesis. The mechanism of action of this antimetabolite is not completely characterized and may be multi-faceted.

Fluorinated adenine analog causes inhibition of DNA synthesis by inhibiting ribonucleotide reductase & DNA polymerase.

Fludarabine is a purine antimetabolite. Activity occurs as the result of activation to 2-fluoro-ara-ATP and includes inhibition of DNA synthesis (primarily in the S-phase of cell division by inhibition of ribonucleotide reductase and the DNA polymerases. It is also postulated that fludarabine interferes with RNA by decreased incorporation of uridine and leucine into RNA and protein, respectively. Fludarabine is also active against non-proliferating cells.

This review establishes the pharmacokinetic characteristics of the major nucleoside analogs with cytotoxic activity. Cytarabine, pentostatin, fludarabine, cladribine & gemcitabine are all prodrugs whose plasma pharmacokinetics do not fully reflect their therapeutic activity; after cellular uptake, these compounds undergo phosphorylation by deoxycytidine kinase before their incorporation into DNA results in cell death. Cytarabine is principally active in the S phase of the cell cycle & is most toxic to replicating cells, whereas pentostatin, fludarabine & cladribine are incorporated into DNA during the process in which strand breaks are repaired & are therefore cytotoxic to slowly replicating cells (although the action of pentostatin results from its inhibition of adenosine deaminase). Gemcitabine is unusual in being highly metabolized in solid tumor cells. The cytotoxic activity of pentostatin, fludarabine and cladribine against the clonal cells of lymphoproliferative disorders is accompanied by damage to normal lymphoid cells, which results in significant & long-lasting immunosuppression. Useful interactions between nucleoside analogs have been defined. Cells that are primed by exposure to fludarabine or cladribine exhibit enhanced accumulation of cytarabine triphosphate (the cytotoxic nucleotide of cytarabine) & an improved therapeutic effect against acute myeloid leukemia & chronic lymphocytic leukemia can be achieved by clinical schedules that exploit this effect. Combinations of alkylating agents & fludarabine or cladribine are also synergistic in producing significantly enhanced activity against refractory lymphoid malignancies, but at the cost of increased hematological toxicity. Developments in the clinical admin of gemcitabine are concentrating on efforts to extend the duration of exposure to the drug as a means of counteracting its rapid catabolism in the circulation. Future developments with this group of agents will further explore the use of fludarabine-based combination therapies to produce a transient period of myelosuppression & immunosuppression that is sufficient to permit the engraftment of allogeneic hemopoietic stem cells & also exploit the immunological benefits of graft-versus-tumor reactions. In addition, the clinical spectrum of activity of gemcitabine is also being extended by combining the drug with other active chemotherapeutic agents, such as cisplatin, & by early studies of its role as a radiosensitiser."
followed by QL1706,Drug not found in PubChem
followed by radical surgery 4-6 weeks after the last dose; adjuvant chemotherapy will continue for 3 months postoperatively,Drug not found in PubChem
folinic acid,"As leucovorin is a derivative of folic acid, it can be used to increase levels of folic acid under conditions favoring folic acid inhibition (following treatment of folic acid antagonists such as methotrexate). Leucovorin enhances the activity of fluorouracil by stabilizing the bond of the active metabolite (5-FdUMP) to the enzyme thymidylate synthetase.

Leucovorin is a derivative of tetrahydrofolic acid, the reduced form of folic acid, which is involved as a cofactor for 1-carbon transfer reactions in the biosynthesis of purines and pyrimidines of nucleic acids. Impairment of thymidylate synthesis in patients with folic acid deficiency is thought to account for the defective DNA synthesis that leads to megaloblast formation and megaloblastic and macrocytic anemias. Because of its ready conversion to other tetrahydrofolic acid derivatives, leucovorin is a potent antidote for both the hematopoietic and reticuloendothelial toxic effects of folic acid antagonists (eg, methotrexate, pyrimethamine, trimethoprim). It is postulated that in some cancers leucovorin enters and rescues normal cells from the toxic effects of folic acid antagonists, in preference to tumor cells, because of a difference in membrane transport mechanisms; this principle is the basis of high dose methotrexate therapy with leucovorin rescue."
for up to 1 year for pts in intervention group,Drug not found in PubChem
fruquintinib + tislelizumab + FOLFOX,Drug not found in PubChem
fruquintinib,"Fruquintinib is a small-molecule kinase inhibitor of vascular endothelial growth factor receptors (VEGFR)-1, -2, and -3 with IC<sub>50</sub> values of 33, 35, and 0.5 nM, respectively"
fuzuloparib,Mechanism of Action section not found
fulvestrant,"Fulvestrant competitively and reversibly binds to estrogen receptors present in cancer cells and achieves its anti-estrogen effects through two separate mechanisms. First, fulvestrant binds to the receptors and downregulates them so that estrogen is no longer able to bind to these receptors. Second, fulvestrant degrades the estrogen receptors to which it is bound. Both of these mechanisms inhibit the growth of tamoxifen-resistant as well as estrogen-sensitive human breast cancer cell lines.

Fulvestrant, a 7(alpha)-alkylsulfinyl analog of estradiol, is an estrogen antagonist. Data from animal studies indicate that fulvestrant does not possess estrogen-agonist activity. The drug competitively binds to and downregulates estrogen receptors in human breast cancer cells. Fulvestrant has been shown to inhibit the growth of tamoxifen-resistant as well as estrogen-sensitive human breast cancer (MCF-7) cell lines in vitro and in vivo. Data from studies in animals indicate that the drug also may block the uterotropic action of estradiol. Fulvestrant does not appear to exhibit peripheral steroidal effects in postmenopausal women, as evidenced by an absence of appreciable changes in plasma concentrations of follicle-stimulating hormone (FSH) and luteinizing hormone (LH) after receiving 250 mg of fulvestrant IM monthly.

The efferent ductules express the highest amount of estrogen receptors ESR1 (ERalpha) and ESR2 (ERbeta) within the male reproductive tract. Treatment of rats with the antiestrogen fulvestrant (ICI 182,780) causes inhibition of fluid reabsorption in the efferent ductules, leading to seminiferous tubule atrophy and infertility. To provide a more comprehensive knowledge about the molecular targets for estrogen in the rat efferent ductules, /the authors/ investigated the effects of ICI 182,780 treatment on gene expression using a microarray approach. Treatment with ICI 182,780 increased or reduced at least 2-fold the expression of 263 and 98 genes, respectively. Not surprisingly, several genes that encode ion channels and macromolecule transporters were affected. Interestingly, treatment with ICI 182,780 markedly altered the expression of genes related to extracellular matrix organization. Matrix metalloproteinase 7 (Mmp7), osteopontin (Spp1), and neuronal pentraxin 1 (Nptx1) were among the most altered genes in this category. Upregulation of Mmp7 and Spp1 and downregulation of Nptx1 were validated by Northern blot. Increase in Mmp7 expression was further confirmed by immunohistochemistry and probably accounted for the decrease in collagen content observed in the efferent ductules of ICI 182,780-treated animals. Downregulation of Nptx1 probably contributed to the extracellular matrix changes and decreased amyloid deposition in the efferent ductules of ICI 182,780-treated animals. Identification of new molecular targets for estrogen action may help elucidate the regulatory role of this hormone in the male reproductive tract.

Fulvestrant is a pure antiestrogen that emerged from a systematic medicinal chemistry strategy of modification of long-chain alkyl substitutes in the 7a-position of estradiol. Fulvestrant has no uterotrophic effects on the immature or ovariectomized rat and blocks the agonistic effects of estradiol and tamoxifen in a dose-dependent manner. In in vivo and in vitro breast cancer models, fulvestrant has anticancer activity at least as good as tamoxifen and is superior to tamoxifen in some models. Fulvestrant requires intramuscular administration in a proprietary formulation of castor oil and alcohols. When fulvestrant binds to estrogen receptor monomers it inhibits receptor dimerization, activating function 1 (AF1) and AF2 are rendered inactive, translocation of receptor to the nucleus is reduced, and degradation of the estrogen receptor is accelerated. This results in pure antiestrogenic effects. ...

Estrogen and tamoxifen activate large conductance Ca(2+)-activated K(+) (BK(Ca)) channels in smooth muscle through a non-genomic mechanism that depends on the regulatory beta1 subunit and an extracellular binding site. It is unknown whether a ""pure"" anti-estrogen such as ICI 182,780 (Faslodex), that has no known estrogenic properties, would have any effect on BK(Ca) channels. Using single channel patch clamp techniques on canine colonic myocytes, the hypothesis that ICI 182,780 would activate BK(Ca) channels was tested. ICI 182,780 increased the open probability of BK(Ca) channels in inside-out patches with an EC(50) of 1 microM. These data suggest that molecules with the ability to bind nuclear estrogen receptors, regardless of oestrogenic or anti-estrogenic nature, activate BK(Ca) channels through this nongenomic, membrane-delimited mechanism. The identity and characteristics of this putative binding site remain unclear; however, it has pharmacological similarity to estrogen receptors alpha and beta, as ICI 182,780 interacts with it.

For more Mechanism of Action (Complete) data for FULVESTRANT (6 total), please visit the HSDB record page."
gemcitabine + nab-paclitaxel,Drug not found in PubChem
gemcitabine/nab-paclitaxel,CID not found
